image_id,emotion,context,eyes,mouth,eyebrow,intensity,State
img_001,sad,personal,downcast,open,furrowed,3,isolated
img_002,sad,personal,downcast,downturned,furrowed,2,isolated
img_003,sad,personal,closed,open,furrowed,3,isolated
img_004,sad,personal,downcast,downturned,furrowed,2,isolated
img_005,sad,personal,downcast,open,neutral,2,reactive
img_006,sad,personal,wide,neutral,neutral,2,reactive
img_007,sad,personal,downcast,downturned,neutral,2,isolated
img_008,sad,personal,downcast,neutral,neutral,1,reactive
img_009,sad,public,downcast,neutral,neutral,1,isolated
img_010,sad,personal,narrow,downturned,furrowed,2,isolated
img_011,sad,personal,downcast,neutral,neutral,2,isolated
img_012,sad,work,narrow,downturned,furrowed,2,isolated
img_013,sad,personal,downcast,downturned,furrowed,2,reactive
img_014,sad,personal,downcast,open,furrowed,3,interactive
img_015,sad,work,downcast,downturned,neutral,2,reactive
img_016,sad,personal,downcast,neutral,neutral,2,reactive
img_017,sad,work,downcast,open,neutral,2,reactive
img_018,sad,public,downcast,neutral,furrowed,2,interactive
img_019,sad,public,downcast,downturned,furrowed,2,interactive
img_020,sad,work,downcast,downturned,furrowed,2,reactive
img_021,sad,personal,downcast,open,furrowed,3,interactive
img_022,sad,personal,closed,tight,furrowed,3,isolated
img_023,sad,personal,downcast,neutral,neutral,2,reactive
img_024,sad,personal,closed,open,furrowed,3,interactive
img_025,fear,personal,wide,open,furrowed,3,interactive
img_026,fear,personal,wide,open,furrowed,3,interactive
img_027,fear,personal,wide,open,neutral,2,reactive
img_028,fear,personal,wide,downturned,furrowed,2,reactive
img_029,fear,public,wide,open,furrowed,3,interactive
img_030,fear,personal,wide,open,furrowed,3,isolated
img_031,fear,work,wide,open,furrowed,2,reactive
img_032,fear,personal,wide,neutral,furrowed,2,isolated
img_033,fear,public,narrow,tight,furrowed,1,interactive
img_034,fear,personal,wide,tight,furrowed,1,isolated
img_035,fear,personal,wide,open,furrowed,2,interactive
img_036,fear,personal,wide,open,raised,3,isolated
img_037,fear,work,wide,open,furrowed,3,interactive
img_038,fear,personal,narrow,tight,furrowed,1,isolated
img_039,fear,public,wide,open,raised,3,reactive
img_040,fear,public,narrow,open,furrowed,2,interactive
img_041,fear,work,wide,open,furrowed,3,interactive
img_042,fear,work,downcast,tight,furrowed,2,interactive
img_043,fear,personal,narrow,open,furrowed,2,interactive
img_044,fear,work,wide,open,furrowed,3,isolated
img_045,fear,personal,wide,open,furrowed,3,isolated
img_046,fear,public,wide,neutral,raised,2,reactive
img_047,fear,public,wide,open,raised,2,reactive
